what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802572604
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1447802574972
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1447802590684
activated,editor,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.core.csssource.source",1447802596127
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1447802601790
activated,editor,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.core.csssource.source",1447802604110
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802607006
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802630111
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1447802631763
activated,editor,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.core.csssource.source",1447802633285
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802643333
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802649513
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1447802650262
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1447802651258
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802652783
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802660278
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802666457
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802670499
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1447802674115
